tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,89152,89152,Peptacetobacter_hiranonis,Peptacetobacter hiranonis,species,0.0,abund,0.0,2534695,9,9,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,89153,89153,[Clostridium]_hylemonae,[Clostridium]_hylemonae,species,0.00058,abund,5.8e-06,3923821,394,279,species,0.0005799998840000232,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,90244,90244,Oligella_ureolytica,Oligella ureolytica,species,0.0,abund,0.0,2832856,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,92401,92401,Metamycoplasma_cloacale,Metamycoplasma cloacale,species,0.0,abund,0.0,689509,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,94138,94138,Staphylococcus_ureilyticus,Staphylococcus ureilyticus,species,0.0,abund,0.0,2677037,2,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,94625,94625,Brucella_intermedia,Brucella intermedia,species,0.0,abund,0.0,4860729,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,96345,96345,Flavobacterium_psychrophilum,Flavobacterium psychrophilum,species,0.0,abund,0.0,12775894,4,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,97138,97138,Clostridium_sp._MD294,Clostridium_sp._MD294,species,0.0,abund,0.0,2924599,2,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,97478,97478,Limosilactobacillus_mucosae,Limosilactobacillus mucosae,species,0.0,abund,0.0,2385545,6,6,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,100886,100886,Catenibacterium_mitsuokai,Catenibacterium mitsuokai,species,0.0,abund,0.0,2650196,2,2,species,0.0,1.0000002
