tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1297617,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,species,0.73538375650687,abund_weighted,0.0073538375650687,Bacteria;Firmicutes;Clostridia;Eubacteriales;;Intestinimonas;Intestinimonas butyriciproducens,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0032178005125431,0.0073538375650687,3183000,0.8309955175569071,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,712411,Olsenella sp. oral taxon 807,Olsenella sp. oral taxon 807,species,0.74716600842698,abund_weighted,0.0074716600842698,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella sp. oral taxon 807,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0032016255806547,0.0074716600842698,3167000,0.8308604413488545,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.73090825206157,abund_weighted,0.0073090825206157,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0031945490479536,0.0073090825206157,3160000,0.8308011377202966,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.73947008665257,abund_weighted,0.0073947008665257,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus;Lactiplantibacillus plantarum,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0031935381147105,0.0073947008665257,3159000,0.8307926553971087,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,2585118,Alistipes communis,Alistipes communis,species,0.73750475643964,abund_weighted,0.0073750475643964,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes communis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0031935381147105,0.0073750475643964,3159000,0.8307926553971087,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,544580,Actinomyces oris,Actinomyces oris,species,0.7879222869516299,abund_weighted,0.0078792228695163,Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oris,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0031793850493082,0.0078792228695163,3145000,0.8306736292478859,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,89014,Blautia luti,Blautia luti,species,0.74689358641727,abund_weighted,0.0074689358641727,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia luti,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0031733194498501,0.0074689358641727,3139000,0.8306224609989413,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,39490,Eubacterium ramulus,Eubacterium ramulus,species,0.75134963214758,abund_weighted,0.0075134963214758,Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium ramulus,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0031571445179617,0.0075134963214758,3123000,0.8304855482022213,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,410072,Coprococcus comes,Coprococcus comes,species,0.73321410978665,abund_weighted,0.0073321410978665,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;Coprococcus comes,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.003125805587428,0.0073321410978665,3092000,0.8302183369965013,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,301302,Roseburia faecis,Roseburia faecis,species,0.71211113339133,abund_weighted,0.0071211113339133,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia faecis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0031116525220257,0.0071211113339133,3078000,0.83009681008737,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,2108523,Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,species,0.71761794973055,abund_weighted,0.0071761794973055,Bacteria;Firmicutes;Clostridia;Eubacteriales;;Lawsonibacter;Lawsonibacter asaccharolyticus,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0030752589252768,0.0071761794973055,3042000,0.8297818389726419,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,0,Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,1.88032481654566,abund_weighted,0.0188032481654566,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium duncaniae,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0029862967998908,0.0188032481654566,2954000,0.8289964607551195,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1160721,Ruminococcus bicirculans,Ruminococcus bicirculans,species,0.67813621703705,abund_weighted,0.0067813621703705,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus bicirculans,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0029670890682733,0.0067813621703705,2935000,0.8288239209382245,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,154288,Turicibacter sanguinis,Turicibacter sanguinis,species,0.70525193636105,abund_weighted,0.0070525193636105,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Turicibacteraceae;Turicibacter;Turicibacter sanguinis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.002952936002871,0.0070525193636105,2921000,0.8286960932656808,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,40545,Sutterella wadsworthensis,Sutterella wadsworthensis,species,0.68422679482565,abund_weighted,0.0068422679482565,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella wadsworthensis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0029317064047675,0.0068422679482565,2900000,0.8285032357213521,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1597,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,0.6640189193194,abund_weighted,0.006640189193194,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus;Lacticaseibacillus paracasei,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0029246298720663,0.006640189193194,2893000,0.8284386494362619,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,261299,Intestinibacter bartlettii,Intestinibacter bartlettii,species,0.6587650662749199,abund_weighted,0.0065876506627492,Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Intestinibacter;Intestinibacter bartlettii,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0029215970723373,0.0065876506627492,2890000,0.8284109232914235,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,454154,Paraprevotella clara,Paraprevotella clara,species,0.66713231371612,abund_weighted,0.0066713231371612,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0029155314728791,0.0066713231371612,2884000,0.8283553873436371,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1834205,Burkholderiales bacterium YL45,Burkholderiales bacterium YL45,species,0.66053580933806,abund_weighted,0.0066053580933806,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;Burkholderiales bacterium YL45,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0028488098788396,0.0066053580933806,2818000,0.8277370023152482,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,2714358,Pusillimonas faecalis,Pusillimonas faecalis,species,0.64258514476943,abund_weighted,0.0064258514476943,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Pusillimonas (ex Kitahara et al. 2021);Pusillimonas faecalis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0027992741499315,0.0064258514476943,2769000,0.8272687646449945,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1982626,Faecalibacillus intestinalis,Faecalibacillus intestinalis,species,0.63839179169134,abund_weighted,0.0063839179169134,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalibacillus;Faecalibacillus intestinalis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0027972522834454,0.0063839179169134,2767000,0.8272494830125178,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,39486,Dorea formicigenerans,Dorea formicigenerans,species,0.6457569153110899,abund_weighted,0.0064575691531109,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Dorea;Dorea formicigenerans,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0027881538842582,0.0064575691531109,2758000,0.8271625484252211,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,39496,Eubacterium ventriosum,Eubacterium ventriosum,species,0.6376231724496499,abund_weighted,0.0063762317244965,Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium ventriosum,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.002781077351557,0.0063762317244965,2751000,0.8270947426220316,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,1655,Actinomyces naeslundii,Actinomyces naeslundii,species,0.62938240665581,abund_weighted,0.0062938240665581,Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces naeslundii,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0027729898856129,0.0062938240665581,2743000,0.8270170455234482,10278171
