cohort,db_mode,tool,rank,n_files,root,pattern,out_name
ont_zymo,default,sylph,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,sylph-results/*.fastq.sylphmpa,ont_zymo_sylph_default_species.tsv
ont_zymo,default,sylph,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,sylph-results/*.fastq.sylphmpa,ont_zymo_sylph_default_genus.tsv
ont_zymo,default,ganon2,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,ganon2-results/*.tre,ont_zymo_ganon2_default_species.tsv
ont_zymo,default,ganon2,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/ont,ganon2-results/*.tre,ont_zymo_ganon2_default_genus.tsv
ont_zymo,unified,Kraken2,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Kraken2-results/*_report.tsv,ont_zymo_Kraken2_unified_species.tsv
ont_zymo,unified,Kraken2,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Kraken2-results/*_report.tsv,ont_zymo_Kraken2_unified_genus.tsv
ont_zymo,unified,Centrifuge,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Centrifuge-results/*_report.tsv,ont_zymo_Centrifuge_unified_species.tsv
ont_zymo,unified,Centrifuge,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Centrifuge-results/*_report.tsv,ont_zymo_Centrifuge_unified_genus.tsv
ont_zymo,unified,Centrifuger,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Centrifuger-results/*_report.tsv,ont_zymo_Centrifuger_unified_species.tsv
ont_zymo,unified,Centrifuger,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,Centrifuger-results/*_report.tsv,ont_zymo_Centrifuger_unified_genus.tsv
ont_zymo,unified,sourmash,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,sourmash-results/*-report.csv.summarized.csv,ont_zymo_sourmash_unified_species.tsv
ont_zymo,unified,sourmash,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,sourmash-results/*-report.csv.summarized.csv,ont_zymo_sourmash_unified_genus.tsv
ont_zymo,unified,sylph,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,sylph-results/*.fastq.sylphmpa,ont_zymo_sylph_unified_species.tsv
ont_zymo,unified,sylph,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,sylph-results/*.fastq.sylphmpa,ont_zymo_sylph_unified_genus.tsv
ont_zymo,unified,ganon2,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,ganon2-results/*.tre,ont_zymo_ganon2_unified_species.tsv
ont_zymo,unified,ganon2,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/ont,ganon2-results/*.tre,ont_zymo_ganon2_unified_genus.tsv
