tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,84112,84112,Eggerthella lenta,Eggerthella lenta,species,0.84356,fraction_reads,0.84356,84112,1||201174|84998|1643822|1643826|84111|84112,10459,0,0,10459
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,84135,84135,Gemella sanguinis,Gemella sanguinis,species,0.43545,fraction_reads,0.43545,84135,1||1239|91061|1385|539738|1378|84135,5399,0,0,5399
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,88431,88431,Dorea longicatena,Dorea longicatena,species,0.70895,fraction_reads,0.70895,88431,1||1239|186801|3085636|186803|189330|88431,8790,0,0,8790
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,89014,89014,Blautia luti,Blautia luti,species,0.90341,fraction_reads,0.90341,89014,1||1239|186801|3085636|186803|572511|89014,11201,0,0,11201
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,89153,89153,[Clostridium] hylemonae,[Clostridium] hylemonae,species,0.0004,fraction_reads,0.0004,89153,1||1239|186801|3085636|186803|1506553|89153,5,0,0,5
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,113107,113107,Streptococcus australis,Streptococcus australis,species,0.52183,fraction_reads,0.52183,113107,1||1239|91061|186826|1300|1301|113107,6470,0,0,6470
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,114527,114527,Mogibacterium diversum,Mogibacterium diversum,species,0.43964,fraction_reads,0.43964,114527,1||1239|186801|3082720|543314|86331|114527,5451,0,0,5451
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,116090,116090,Caloranaerobacter azorensis,Caloranaerobacter azorensis,species,0.61612,fraction_reads,0.61612,116090,1||1239|1737404|1737405|2848916|171003|116090,7639,0,0,7639
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,154046,154046,Hungatella hathewayi,Hungatella hathewayi,species,1.68518,fraction_reads,1.68518,154046,1||1239|186801|3085636|186803|1649459|154046,20894,0,0,20894
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,154288,154288,Turicibacter sanguinis,Turicibacter sanguinis,species,0.72379,fraction_reads,0.72379,154288,1||1239|526524|526525|2810281|191303|154288,8974,0,0,8974
