tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads,norm_abund,classified_fraction
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1796613,Bacteroides caecimuris,Bacteroides caecimuris,species,0.8404328647287875,abund,0.84,86666000,86666000,0.8995967571393478,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1834205,Burkholderiales bacterium YL45,Burkholderiales bacterium YL45,species,0.6889695352316499,abund,0.69,71047000,71047000,0.7374708744430256,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1852391,Clostridiales bacterium Marseille-P2986,Clostridiales bacterium Marseille-P2986,species,0.042707247781893484,abund,0.04,4404000,4404000,0.04571370685668761,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1869227,bacterium,bacterium,species,0.5170641352703361,abund,0.52,53320000,53320000,0.5534638623066719,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1872444,Alistipes sp.,Alistipes sp.,species,0.5044090584412328,abund,0.5,52015000,52015000,0.5399179069370131,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1898203,Lachnospiraceae bacterium,Lachnospiraceae bacterium,species,0.8293002760699288,abund,0.83,85518000,85518000,0.8876804684310197,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1924083,Bariatricus sp.,Bariatricus sp.,species,0.03513359643819257,abund,0.04,3623000,3623000,0.03760689371975005,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1926307,Veillonella sp.,Veillonella sp.,species,0.024272534331988962,abund,0.02,2503000,2503000,0.025981246199429858,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1946697,Lachnoclostridium sp. UBA6558,Lachnoclostridium sp. UBA6558,species,0.05850427472029142,abund,0.06,6033000,6033000,0.06262279597329617,0.9342328749620027
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,0,1971605,Faecalibacterium sp.,Faecalibacterium sp.,species,0.11717340484755198,abund,0.12,12083000,12083000,0.12542205266788292,0.9342328749620027
