tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,257438,257438,Gluconobacter thailandicus,Gluconobacter thailandicus,species,0.0,abund,0.0,3649313,14,5,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,257708,257708,Roseomonas gilardii,Roseomonas gilardii,species,0.0,abund,0.0,5412463,36,32,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,257758,257758,Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae,species,0.0,abund,0.0,2195458,31,12,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,258224,258224,Corynebacterium resistens,Corynebacterium resistens,species,0.0,abund,0.0,2601311,4,1,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,259537,259537,Dechloromonas aromatica,Dechloromonas aromatica,species,0.0,abund,0.0,4501104,30,14,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,260364,260364,Shewanella marisflavi,Shewanella marisflavi,species,0.0,abund,0.0,8664944,19,13,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,260552,260552,Microbulbifer agarilyticus,Microbulbifer agarilyticus,species,0.0,abund,0.0,4255625,6,0,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,260554,260554,[Brevibacterium] halotolerans,[Brevibacterium] halotolerans,species,0.0,abund,0.0,8298703,159,73,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,260714,260714,Campylobacter insulaenigrae,Campylobacter insulaenigrae,species,0.0,abund,0.0,1465081,29,1,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,261164,261164,Psychrobacter alimentarius,Psychrobacter alimentarius,species,0.0,abund,0.0,3349444,11,6,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,261292,261292,Nitrosomonas sp. Is79A3,Nitrosomonas sp. Is79A3,species,0.0,abund,0.0,3783444,13,9,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,261302,261302,Paraburkholderia phytofirmans,Paraburkholderia phytofirmans,species,0.0,abund,0.0,8214658,23,12,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,261524,261524,Mycobacterium liflandii,Mycobacterium liflandii,species,0.0,abund,0.0,6399543,32,0,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,261964,261964,Kangiella koreensis,Kangiella koreensis,species,0.0,abund,0.0,2852073,23,23,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,262071,262071,Clostridium virus phiC2,Clostridium virus phiC2,species,0.0,abund,0.0,56538,14,0,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,262209,262209,Janibacter melonis,Janibacter melonis,species,0.0,abund,0.0,3481073,20,5,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,262324,262324,Lysobacter gummosus,Lysobacter gummosus,species,0.0,abund,0.0,6056618,21,12,0.0,0.9267020492508667
