taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
547	547	Enterobacter	Enterobacter	genus	0.018462373342001955	abund	0.00018462373342001957	39650554	461847	106297	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
551	551	Erwinia	Erwinia	genus	2.36965e-06	abund	2.36965e-08	5671472	10807	3038	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
561	561	Escherichia	Escherichia	genus	0.80327999395	abund	0.0080327999395	10786223	2029237	404156	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
568	568	Hafnia	Hafnia	genus	1.99716e-05	abund	1.99716e-07	1035572	1515	244	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
570	570	Klebsiella	Klebsiella	genus	0.180553893076	abund	0.00180553893076	2775578	1345776	261132	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
579	579	Kluyvera	Kluyvera	genus	2.1278999999999998e-48	abund	2.1278999999999999e-50	0	855	369	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
581	581	Morganella	Morganella	genus	1.96197e-06	abund	1.96197e-08	31823894	3515	1336	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
583	583	Proteus	Proteus	genus	0.00108155262	abund	1.0815526200000001e-05	19685525	22571	4114	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
586	586	Providencia	Providencia	genus	0.521419546	abund	0.0052141954599999995	5141375	288446	27367	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
590	590	Salmonella	Salmonella	genus	0.04079128105000001	abund	0.0004079128105000001	15633408	1821379	215944	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
613	613	Serratia	Serratia	genus	0.0021045158	abund	2.1045157999999998e-05	18367317	120601	20876	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
620	620	Shigella	Shigella	genus	0.019116764970000272	abund	0.0001911676497000027	9335870	170297	16842	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
