taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
1291539	1291539	Methanomethylophilus	Methanomethylophilus	genus	0.0	abund	0.0	1666792	4	0	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1294511	1294511	Naumannella	Naumannella	genus	0.0	abund	0.0	3347785	6	6	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1295327	1295327	Croceicoccus	Croceicoccus	genus	0.0	abund	0.0	3791056	19	17	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1295378	1295378	Methylogaea	Methylogaea	genus	0.0	abund	0.0	4018824	8	8	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1301080	1301080	Candidatus_Nasuia	Candidatus Nasuia	genus	0.0	abund	0.0	998145	23	19	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1302410	1302410	Candidatus_Annandia	Candidatus Annandia	genus	0.0	abund	0.0	341412	6	6	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1307798	1307798	Negevirus	Negevirus	genus	0.0	abund	0.0	9449	1	1	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1322061	1322061	Rhizoctonia	Rhizoctonia	genus	0.0	abund	0.0	35900850	33	33	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1329200	1329200	Fictibacillus	Fictibacillus	genus	0.0	abund	0.0	4433638	70	70	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1330545	1330545	Lelliottia	Lelliottia	genus	0.0007	abund	7e-06	4754595	94	70	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1330546	1330546	Pluralibacter	Pluralibacter	genus	7e-05	abund	7e-07	5181274	78	46	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1330547	1330547	Kosakonia	Kosakonia	genus	0.00014	abund	1.4e-06	5214289	449	278	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1331051	1331051	Candidatus_Saccharimonas	Candidatus Saccharimonas	genus	0.0	abund	0.0	1013781	1	1	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1335483	1335483	Shimwellia	Shimwellia	genus	0.0	abund	0.0	4158725	8	0	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1335631	1335631	Frischella	Frischella	genus	0.0	abund	0.0	2692351	17	17	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1335745	1335745	Spiribacter	Spiribacter	genus	0.0	abund	0.0	2333962	22	22	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1344552	1344552	Noviherbaspirillum	Noviherbaspirillum	genus	0.0	abund	0.0	5255558	77	77	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1348505	1348505	Polycladomyces	Polycladomyces	genus	0.0	abund	0.0	3197230	21	21	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1348508	1348508	Roseimicrobium	Roseimicrobium	genus	0.0	abund	0.0	7957748	16	16	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1348611	1348611	Vallitalea	Vallitalea	genus	0.0	abund	0.0	5975778	75	70	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1348911	1348911	Coprobacter	Coprobacter	genus	0.5645100000000001	abund	0.0056451	3808002	55464	55289	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1354809	1354809	Keratinibaculum	Keratinibaculum	genus	0.0	abund	0.0	2307997	10	10	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1377992	1377992	Halovenus	Halovenus	genus	0.0	abund	0.0	3769933	13	13	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1379908	1379908	Rufibacter	Rufibacter	genus	0.0	abund	0.0	4792666	24	24	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
1381133	1381133	Candidatus_Profftella	Candidatus Profftella	genus	0.0	abund	0.0	470892	8	2	genus	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuger	unified	Centrifuger_unified
