taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
662	662	Vibrio	Vibrio	genus	0.0	abund	0.0	5553046	1057	610	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
702	702	Plesiomonas	Plesiomonas	genus	0.0	abund	0.0	3951529	11	7	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
713	713	Actinobacillus	Actinobacillus	genus	0.0	abund	0.0	2807210	78	51	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
724	724	Haemophilus	Haemophilus	genus	0.0	abund	0.0	2147820	552	141	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
745	745	Pasteurella	Pasteurella	genus	0.0	abund	0.0	2430136	55	32	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
768	768	Anaplasma	Anaplasma	genus	0.0	abund	0.0	1367035	3	2	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
773	773	Bartonella	Bartonella	genus	0.0	abund	0.0	3124398	201	168	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
776	776	Coxiella	Coxiella	genus	0.0	abund	0.0	1567833	3	0	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
780	780	Rickettsia	Rickettsia	genus	0.0	abund	0.0	1241129	18	16	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
801	801	Symbiopectobacterium	Symbiopectobacterium	genus	0.0	abund	0.0	4919616	61	61	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
