taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
35818	35818	Helicobacter pullorum	Helicobacter pullorum	species	0.0	abund	0.0	1733410	11	9	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
35841	35841	Bacillus thermoamylovorans	Bacillus thermoamylovorans	species	0.0	abund	0.0	4016170	55	39	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36355	36355	Pseudaletia unipuncta granulovirus	Pseudaletia unipuncta granulovirus	species	0.0	abund	0.0	176677	2	0	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36363	36363	Lymphocystis disease virus 1	Lymphocystis disease virus 1	species	0.0	abund	0.0	102653	1	0	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36745	36745	Clostridium saccharoperbutylacetonicum	Clostridium saccharoperbutylacetonicum	species	0.0	abund	0.0	6666445	311	63	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36746	36746	Pseudomonas cichorii	Pseudomonas cichorii	species	0.0	abund	0.0	5986012	68	36	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36805	36805	Microbacterium aurum	Microbacterium aurum	species	0.0	abund	0.0	3424892	32	28	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36809	36809	Mycobacterium abscessus	Mycobacterium abscessus	species	0.0	abund	0.0	6441676	225	35	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36813	36813	Mycobacterium pulveris	Mycobacterium pulveris	species	0.0	abund	0.0	5484749	52	28	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36814	36814	Mycobacterium rhodesiae	Mycobacterium rhodesiae	species	0.0	abund	0.0	6415739	21	11	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36818	36818	Streptomyces subrutilus	Streptomyces subrutilus	species	0.0	abund	0.0	7604974	40	24	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36822	36822	Gordonia rubripertincta	Gordonia rubripertincta	species	0.0	abund	0.0	5332073	22	4	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36854	36854	Desulfitobacterium dehalogenans	Desulfitobacterium dehalogenans	species	0.0	abund	0.0	4321753	80	60	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36861	36861	Thiobacillus denitrificans	Thiobacillus denitrificans	species	0.0	abund	0.0	2909809	21	8	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36873	36873	Paraburkholderia xenovorans	Paraburkholderia xenovorans	species	0.0	abund	0.0	19434089	141	66	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
36874	36874	Porphyromonas cangingivalis	Porphyromonas cangingivalis	species	0.00263738	abund	2.63738e-05	2404857	437	276	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37326	37326	Nocardia brasiliensis	Nocardia brasiliensis	species	0.0	abund	0.0	9436348	83	45	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37329	37329	Nocardia farcinica	Nocardia farcinica	species	0.0	abund	0.0	6292344	151	13	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37330	37330	Nocardia nova	Nocardia nova	species	0.0	abund	0.0	8348532	36	25	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37332	37332	Nocardia seriolae	Nocardia seriolae	species	0.0	abund	0.0	16426251	95	30	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37372	37372	Helicobacter bilis	Helicobacter bilis	species	0.0	abund	0.0	2620399	16	11	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37482	37482	Laceyella sacchari	Laceyella sacchari	species	0.0	abund	0.0	3374379	59	47	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37487	37487	Marichromatium purpuratum	Marichromatium purpuratum	species	0.0	abund	0.0	3779112	86	54	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37636	37636	Thermus scotoductus	Thermus scotoductus	species	0.0	abund	0.0	2355186	27	11	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37692	37692	Candidatus Phytoplasma mali	Candidatus Phytoplasma mali	species	0.0	abund	0.0	601943	2	2	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37734	37734	Enterococcus casseliflavus	Enterococcus casseliflavus	species	0.0	abund	0.0	3427276	135	75	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37919	37919	Rhodococcus opacus	Rhodococcus opacus	species	3.5429000000000004e-62	abund	3.5429e-64	8834939	99	34	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37927	37927	Sinomonas atrocyanea	Sinomonas atrocyanea	species	0.0	abund	0.0	4492204	49	35	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
37928	37928	Arthrobacter crystallopoietes	Arthrobacter crystallopoietes	species	0.0	abund	0.0	5032705	41	26	DYN_0021_D03_Qiagen_report	DYN_0021_D03	ont_qiagen	Centrifuge	default	Centrifuge_default
