taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
1970157	1970157	                    Kordiimonas sp.	Kordiimonas sp.	species	0.0	abund	0.0	241	241	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2829597	2829597	                    Kordiimonas sp. SCSIO 12610	Kordiimonas sp. SCSIO 12610	species	0.0	abund	0.0	108	108	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2829596	2829596	                    Kordiimonas sp. SCSIO 12603	Kordiimonas sp. SCSIO 12603	species	0.0	abund	0.0	7	7	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2161677	2161677	                  Kordiimonas pumila	Kordiimonas pumila	species	0.0	abund	0.0	24	24	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3024400	3024400	                  Gimibacter soli	Gimibacter soli	species	0.0	abund	0.0	29	29	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1456591	1456591	                  Temperatibacter marinus	Temperatibacter marinus	species	0.0	abund	0.0	3	3	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1979954	1979954	                    Emcibacter sp.	Emcibacter sp.	species	0.0	abund	0.0	160	160	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2582913	2582913	                  Luteithermobacter gelatinilyticus	Luteithermobacter gelatinilyticus	species	0.0	abund	0.0	91	91	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2043170	2043170	                  Paremcibacter congregatus	Paremcibacter congregatus	species	0.0	abund	0.0	91	91	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2857064	2857064	                  Pseudemcibacter aquimaris	Pseudemcibacter aquimaris	species	0.0	abund	0.0	5	5	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1873716	1873716	                    Hyphomonas sp. CACIAM 19H1	Hyphomonas sp. CACIAM 19H1	species	0.0	abund	0.0	35	35	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2016196	2016196	                    Hyphomonas sp. KY3	Hyphomonas sp. KY3	species	0.0	abund	0.0	23	23	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1906738	1906738	                    Hyphomonas sp. Mor2	Hyphomonas sp. Mor2	species	0.0	abund	0.0	13	13	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
87	87	                    Hyphomonas sp.	Hyphomonas sp.	species	0.0	abund	0.0	12	12	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3080019	3080019	                    Hyphomonas sp. FCG-A18	Hyphomonas sp. FCG-A18	species	0.0	abund	0.0	8	8	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
81032	81032	                  Hyphomonas neptunium	Hyphomonas neptunium	species	0.0	abund	0.0	48	0	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1280948	1280948	                  Hyphomonas atlantica	Hyphomonas atlantica	species	0.0	abund	0.0	10	10	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1759059	1759059	                  Candidatus Viadribacter manganicus	Candidatus Viadribacter manganicus	species	0.0	abund	0.0	56	56	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2724	2724	                  Hirschia baltica	Hirschia baltica	species	0.0	abund	0.0	9	0	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2493630	2493630	                    Minwuia sp.	Minwuia sp.	species	0.0	abund	0.0	116	116	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1509244	1509244	                  Candidatus Nucleicultrix amoebiphila	Candidatus Nucleicultrix amoebiphila	species	0.0	abund	0.0	116	0	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2558174	2558174	                  Candidatus Hydrogenosomobacter endosymbioticus	Candidatus Hydrogenosomobacter endosymbioticus	species	0.0	abund	0.0	21	21	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1921001	1921001	                  Candidatus Bealeia paramacronuclearis	Candidatus Bealeia paramacronuclearis	species	0.0	abund	0.0	19	19	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2601575	2601575	                  Candidatus Cytomitobacter indipagum	Candidatus Cytomitobacter indipagum	species	0.0	abund	0.0	5	5	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2066024	2066024	                  Candidatus Cytomitobacter primus	Candidatus Cytomitobacter primus	species	0.0	abund	0.0	1	1	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2806609	2806609	                  Candidatus Gromoviella agglomerans	Candidatus Gromoviella agglomerans	species	0.0	abund	0.0	4	4	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
86106	86106	                  endosymbiont of Acanthamoeba sp. UWC8	endosymbiont of Acanthamoeba sp. UWC8	species	0.0	abund	0.0	1	1	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
91604	91604	                  Candidatus Odyssella acanthamoebae	Candidatus Odyssella acanthamoebae	species	0.0	abund	0.0	4	4	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2741701	2741701	                  Candidatus Bodocaedibacter vickermanii	Candidatus Bodocaedibacter vickermanii	species	0.0	abund	0.0	3	3	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3078805	3078805	                    Parvularcula sp. LCG005	Parvularcula sp. LCG005	species	0.0	abund	0.0	23	23	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3067902	3067902	                    Parvularcula sp. IMCC14364	Parvularcula sp. IMCC14364	species	0.0	abund	0.0	11	11	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
208216	208216	                  Parvularcula bermudensis	Parvularcula bermudensis	species	0.0	abund	0.0	15	0	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1866326	1866326	                  Hyphococcus flavus	Hyphococcus flavus	species	0.0	abund	0.0	34	34	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3143534	3143534	                  Hyphococcus formosus	Hyphococcus formosus	species	0.0	abund	0.0	15	15	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1526572	1526572	                  Aquisalinus flavus	Aquisalinus flavus	species	0.0	abund	0.0	20	20	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2950108	2950108	                  Sneathiella marina	Sneathiella marina	species	0.0	abund	0.0	104	104	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2599305	2599305	                  Sneathiella aquimaris	Sneathiella aquimaris	species	0.0	abund	0.0	14	14	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1925548	1925548	                  Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter ubiquis	species	0.0	abund	0.0	60	60	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3230993	3230993	                    Candidatus Pelagibacter sp. Uisw_090	Candidatus Pelagibacter sp. Uisw_090	species	0.0	abund	0.0	8	8	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3230984	3230984	                    Candidatus Pelagibacter sp. Uisw_106	Candidatus Pelagibacter sp. Uisw_106	species	0.0	abund	0.0	5	5	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
2268451	2268451	                    Candidatus Pelagibacter sp. FZCC0015	Candidatus Pelagibacter sp. FZCC0015	species	0.0	abund	0.0	4	4	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3230988	3230988	                    Candidatus Pelagibacter sp. Uisw_127	Candidatus Pelagibacter sp. Uisw_127	species	0.0	abund	0.0	4	4	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
3230979	3230979	                    Candidatus Pelagibacter sp. Uisw_092	Candidatus Pelagibacter sp. Uisw_092	species	0.0	abund	0.0	3	3	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
1977865	1977865	                    Candidatus Pelagibacter sp. RS40	Candidatus Pelagibacter sp. RS40	species	0.0	abund	0.0	2	2	DYN_0024_D01_report	DYN_0024_D01	illumina	Kraken2	default	Kraken2_default
