taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
29555	29555	Mycoplasmopsis canis	Mycoplasmopsis canis	species	0.0	abund	0.0	897443	3	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29558	29558	Mycoplasmopsis hyopharyngis	Mycoplasmopsis hyopharyngis	species	0.0	abund	0.0	876322	2	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29559	29559	Metamycoplasma hyosynoviae	Metamycoplasma hyosynoviae	species	0.0	abund	0.0	3539205	5	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29561	29561	Mycoplasmopsis meleagridis	Mycoplasmopsis meleagridis	species	0.0	abund	0.0	644173	2	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29562	29562	Mesomycoplasma ovipneumoniae	Mesomycoplasma ovipneumoniae	species	0.0	abund	0.0	1035538	26	6	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
29581	29581	Janthinobacterium lividum	Janthinobacterium lividum	species	0.0	abund	0.0	18913469	27	25	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
31963	31963	Clavibacter nebraskensis	Clavibacter nebraskensis	species	0.0	abund	0.0	1035564	489	156	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
31964	31964	Clavibacter sepedonicus	Clavibacter sepedonicus	species	0.0	abund	0.0	7205919	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
31965	31965	Clavibacter tessellarius	Clavibacter tessellarius	species	0.0	abund	0.0	21751870	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
32025	32025	Helicobacter hepaticus	Helicobacter hepaticus	species	0.0	abund	0.0	1035566	2	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
32046	32046	Synechococcus elongatus	Synechococcus elongatus	species	0.0	abund	0.0	19940998	47	4	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
32049	32049	Picosynechococcus sp. PCC 7002	Picosynechococcus sp. PCC 7002	species	0.0	abund	0.0	19851575	1	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
32062	32062	Deinococcus radiophilus	Deinococcus radiophilus	species	0.0	abund	0.0	16914414	3	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33010	33010	Cutibacterium avidum	Cutibacterium avidum	species	0.0	abund	0.0	1035573	11	3	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33025	33025	Phascolarctobacterium faecium	Phascolarctobacterium faecium	species	0.0	abund	0.0	5177698	12	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33028	33028	Staphylococcus saccharolyticus	Staphylococcus saccharolyticus	species	0.0	abund	0.0	13175827	3	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33031	33031	Peptoniphilus lacrimalis	Peptoniphilus lacrimalis	species	0.0	abund	0.0	1035538	2	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33033	33033	Parvimonas micra	Parvimonas micra	species	0.0	abund	0.0	11391079	39	23	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33034	33034	Anaerococcus prevotii	Anaerococcus prevotii	species	0.0	abund	0.0	17048543	198	196	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33035	33035	Blautia producta	Blautia producta	species	0.0	abund	0.0	1035534	2	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33037	33037	Anaerococcus vaginalis	Anaerococcus vaginalis	species	0.0	abund	0.0	1035546	12	11	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33038	33038	Mediterraneibacter gnavus	Mediterraneibacter gnavus	species	0.000162532	abund	1.62532e-06	3223357	640	474	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33039	33039	[Ruminococcus] torques	[Ruminococcus] torques	species	0.0	abund	0.0	1074804	10	9	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33040	33040	Streptococcus milleri	Streptococcus milleri	species	0.0	abund	0.0	2071092	1	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33043	33043	Coprococcus eutactus	Coprococcus eutactus	species	0.0	abund	0.0	1035536	3	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33050	33050	Sphingopyxis macrogoltabida	Sphingopyxis macrogoltabida	species	0.0	abund	0.0	16962431	815	815	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33053	33053	Neisseria perflava	Neisseria perflava	species	0.0	abund	0.0	7890590	2	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33056	33056	Candidatus Kinetoplastibacterium crithidii	Candidatus Kinetoplastibacterium crithidii	species	0.0	abund	0.0	821930	3	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33059	33059	Acidithiobacillus caldus	Acidithiobacillus caldus	species	0.0	abund	0.0	8988343	49	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33069	33069	Pseudomonas viridiflava	Pseudomonas viridiflava	species	0.0	abund	0.0	17578062	1	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33169	33169	Eremothecium gossypii	Eremothecium gossypii	species	0.0	abund	0.0	12341653	38	22	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33905	33905	Bifidobacterium thermophilum	Bifidobacterium thermophilum	species	0.0	abund	0.0	13116275	3	3	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33918	33918	Microbacterium maritypicum	Microbacterium maritypicum	species	0.0	abund	0.0	12427241	3	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33922	33922	Mycoplasmopsis agassizii	Mycoplasmopsis agassizii	species	0.0	abund	0.0	1035552	1	0	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33923	33923	Mycoplasmopsis felis	Mycoplasmopsis felis	species	0.0	abund	0.0	41124940	20	8	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33934	33934	Anoxybacillus flavithermus	Anoxybacillus flavithermus	species	0.0	abund	0.0	10431976	47	43	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33935	33935	Lysinibacillus macroides	Lysinibacillus macroides	species	0.0	abund	0.0	1238880	1	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33938	33938	Geobacillus thermocatenulatus	Geobacillus thermocatenulatus	species	0.0	abund	0.0	1035542	1	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33940	33940	Geobacillus thermodenitrificans	Geobacillus thermodenitrificans	species	0.0	abund	0.0	23202227	3	1	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33941	33941	Geobacillus thermoleovorans	Geobacillus thermoleovorans	species	0.0	abund	0.0	8702418	11	2	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33945	33945	Enterococcus avium	Enterococcus avium	species	1.8052399999999998e-23	abund	1.80524e-25	9328697	8	5	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
33946	33946	Kurthia gibsonii	Kurthia gibsonii	species	8.283630000000001e-39	abund	8.28363e-41	29616879	265	38	DYN_0036_D05_report	DYN_0036_D05	pacbio	Centrifuge	unified	Centrifuge_unified
