taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
2843440	2843440	Privateervirus	Privateervirus	genus	0.0	abund	0.0	90825	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843442	2843442	Radostvirus	Radostvirus	genus	0.0	abund	0.0	47224	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843445	2843445	Rockefellervirus	Rockefellervirus	genus	0.0	abund	0.0	43138	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843447	2843447	Ronodorvirus	Ronodorvirus	genus	0.0	abund	0.0	178656	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843463	2843463	Takahashivirus	Takahashivirus	genus	0.0	abund	0.0	251619	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2843464	2843464	Tandoganvirus	Tandoganvirus	genus	0.0	abund	0.0	40847	4	4	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2845254	2845254	Breznakiella	Breznakiella	genus	0.0	abund	0.0	4646109	10	10	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2846749	2846749	Pacificitalea	Pacificitalea	genus	0.0	abund	0.0	3956796	4	4	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2847307	2847307	Thermophilibacter	Thermophilibacter	genus	0.0	abund	0.0	2298744	7	7	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2847312	2847312	Parafannyhessea	Parafannyhessea	genus	0.0	abund	0.0	2353093	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
