tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76859,76859,Fusobacterium animalis,Fusobacterium animalis,species,0.16444,abund,0.16444,76859,1||32066|203490|203491|203492|848|76859,369,0,0,369,0.19405344895664997,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,84112,84112,Eggerthella lenta,Eggerthella lenta,species,0.00063,abund,0.00063,84112,1||201174|84998|1643822|1643826|84111|84112,2,0,0,2,0.0007434545903836627,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,88431,88431,Dorea longicatena,Dorea longicatena,species,0.00068,abund,0.00068,88431,1||1239|186801|3085636|186803|189330|88431,2,0,0,2,0.0008024589229537947,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,96241,96241,Bacillus spizizenii,Bacillus spizizenii,species,0.00026,abund,0.00026,96241,1||1239|91061|1385|186817|1386|96241,1,0,0,1,0.00030682252936468614,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133448,133448,Citrobacter youngae,Citrobacter youngae,species,0.00082,abund,0.00082,133448,1||1224|1236|91347|543|544|133448,4,0,0,4,0.0009676710541501641,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133926,133926,Olsenella uli,Olsenella uli,species,0.00048,abund,0.00048,133926,1||201174|84998|84999|1643824|133925|133926,1,0,0,1,0.0005664415926732668,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,153151,153151,Parageobacillus toebii,Parageobacillus toebii,species,0.00033,abund,0.00033,153151,1||1239|91061|1385|3120669|1906945|153151,1,0,0,1,0.00038942859496287095,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,154046,154046,Hungatella hathewayi,Hungatella hathewayi,species,0.00015,abund,0.00015,154046,1||1239|186801|3085636|186803|1649459|154046,1,0,0,1,0.00017701299771039587,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,158836,158836,Enterobacter hormaechei,Enterobacter hormaechei,species,0.00525,abund,0.00525,158836,1||1224|1236|91347|543|547|158836,25,0,0,25,0.006195454919863856,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,208479,208479,Enterocloster bolteae,Enterocloster bolteae,species,0.00066,abund,0.00066,208479,1||1239|186801|3085636|186803|2719313|208479,4,0,0,4,0.0007788571899257419,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,214473,214473,Staphylococcus nepalensis,Staphylococcus nepalensis,species,0.00037,abund,0.00037,214473,1||1239|91061|1385|90964|1279|214473,1,0,0,1,0.00043663206101897644,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,214856,214856,Alistipes finegoldii,Alistipes finegoldii,species,0.00786,abund,0.00786,214856,1||976|200643|171549|171550|239759|214856,26,0,0,26,0.009275481080024744,0.8473954
