tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,841,841,Roseburia,Roseburia,genus,5.19782,abund,5.19782,841,1||1239|186801|3085636|186803|841,0,0,160547,160547,5.226582405636458,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,848,848,Fusobacterium,Fusobacterium,genus,7.70912,abund,7.70912,848,1||32066|203490|203491|203492|848,0,0,144891,144891,7.751778813991275,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1279,1279,Staphylococcus,Staphylococcus,genus,4e-05,abund,4e-05,1279,1||1239|91061|1385|90964|1279,0,0,1,1,4.022134206753183e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1301,1301,Streptococcus,Streptococcus,genus,0.00016,abund,0.00016,1301,1||1239|91061|186826|1300|1301,0,0,3,3,0.00016088536827012733,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1350,1350,Enterococcus,Enterococcus,genus,0.00217,abund,0.00217,1350,1||1239|91061|186826|81852|1350,0,0,55,55,0.0021820078071636017,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1485,1485,Clostridium,Clostridium,genus,7e-05,abund,7e-05,1485,1||1239|186801|186802|31979|1485,0,0,2,2,7.03873486181807e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1654,1654,Actinomyces,Actinomyces,genus,0.00026,abund,0.00026,1654,1||201174|1760|2037|2049|1654,0,0,7,7,0.0002614387234389569,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1678,1678,Bifidobacterium,Bifidobacterium,genus,2.97191,abund,2.97191,1678,1||201174|1760|85004|31953|1678,0,0,56803,56803,2.988355217597963,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2172,2172,Methanobrevibacter,Methanobrevibacter,genus,0.10461,abund,0.10461,2172,1||28890|183925|2158|2159|2172,0,0,1538,1538,0.10518886484211262,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,4930,4930,Saccharomyces,Saccharomyces,genus,0.05817,abund,0.05817,4930,1||4890|4891|4892|4893|4930,0,0,5502,5502,0.05849188670170817,0.9944969
