tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,332249,332249,Truepera radiovictrix,Truepera radiovictrix,species,0.0,abund,0.0,3260398,40,21
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,332410,332410,Exiguobacterium sibiricum,Exiguobacterium sibiricum,species,0.0,abund,0.0,3040786,68,22
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,332411,332411,Aquitalea magnusonii,Aquitalea magnusonii,species,0.0,abund,0.0,4852135,61,25
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,333962,333962,Providencia heimbachae,Providencia heimbachae,species,0.0,abund,0.0,8780785,112,2
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,333965,333965,Providencia vermicola,Providencia vermicola,species,0.0,abund,0.0,4432495,21,10
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,334542,334542,Rhodococcus qingshengii,Rhodococcus qingshengii,species,0.0,abund,0.0,13546634,15,3
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,334543,334543,Psychrobacter arcticus,Psychrobacter arcticus,species,0.0,abund,0.0,2650701,14,3
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,334852,334852,Methylobacterium oryzae,Methylobacterium oryzae,species,0.0,abund,0.0,6286629,44,1
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,335100,335100,Rotavirus D,Rotavirus D,species,0.0,abund,0.0,18500,3,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,335406,335406,Sphingosinicella microcystinivorans,Sphingosinicella microcystinivorans,species,0.0,abund,0.0,4036662,26,7
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,335659,335659,Bradyrhizobium sp. S23321,Bradyrhizobium sp. S23321,species,0.0,abund,0.0,7231841,39,19
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,336203,336203,Sphingobium fuliginis,Sphingobium fuliginis,species,0.0,abund,0.0,5414624,29,4
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,336261,336261,Thermovirga lienii,Thermovirga lienii,species,0.0,abund,0.0,1999646,24,20
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,336810,336810,Candidatus Sulcia muelleri,Candidatus Sulcia muelleri,species,0.0,abund,0.0,285352,61,19
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,337090,337090,Chlorobium chlorochromatii,Chlorobium chlorochromatii,species,0.0,abund,0.0,2572079,14,9
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,337191,337191,Gordonia sp. KTR9,Gordonia sp. KTR9,species,0.0,abund,0.0,5885710,9,5
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,337243,337243,Halorubrum ezzemoulense,Halorubrum ezzemoulense,species,0.0,abund,0.0,3726301,10,6
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,337479,337479,Rickettsia endosymbiont of Bemisia tabaci,Rickettsia endosymbiont of Bemisia tabaci,species,0.0,abund,0.0,1378618,18,7
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,338192,338192,Nitrosopumilus maritimus,Nitrosopumilus maritimus,species,0.0,abund,0.0,1645259,8,3
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,338565,338565,Erwinia tasmaniensis,Erwinia tasmaniensis,species,0.0,abund,0.0,4067864,51,31
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,339268,339268,Mycobacterium colombiense,Mycobacterium colombiense,species,0.0,abund,0.0,5581643,15,6
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,340044,340044,Blattabacterium sp. (Panesthia angustipennis spadica),Blattabacterium sp. (Panesthia angustipennis spadica),species,0.0,abund,0.0,632490,15,1
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,340146,340146,Exiguobacterium mexicanum,Exiguobacterium mexicanum,species,0.0,abund,0.0,2693465,78,60
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,340345,340345,Actinoalloteichus hymeniacidonis,Actinoalloteichus hymeniacidonis,species,0.0,abund,0.0,6306386,21,10
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,341045,341045,Herbaspirillum hiltneri,Herbaspirillum hiltneri,species,0.0,abund,0.0,4965474,33,14
