tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,841,841,Roseburia,Roseburia,genus,5.69972,fraction_reads,5.69972,841,1||1239|186801|3085636|186803|841,0,0,112789,112789
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,848,848,Fusobacterium,Fusobacterium,genus,5.49556,fraction_reads,5.49556,848,1||32066|203490|203491|203492|848,0,0,108749,108749
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1279,1279,Staphylococcus,Staphylococcus,genus,5e-05,fraction_reads,5e-05,1279,1||1239|91061|1385|90964|1279,0,0,1,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1350,1350,Enterococcus,Enterococcus,genus,0.00197,fraction_reads,0.00197,1350,1||1239|91061|186826|81852|1350,0,0,39,39
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1654,1654,Actinomyces,Actinomyces,genus,0.0003,fraction_reads,0.0003,1654,1||201174|1760|2037|2049|1654,0,0,6,6
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1678,1678,Bifidobacterium,Bifidobacterium,genus,1.95376,fraction_reads,1.95376,1678,1||201174|1760|85004|31953|1678,0,0,38662,38662
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2172,2172,Methanobrevibacter,Methanobrevibacter,genus,0.05251,fraction_reads,0.05251,2172,1||28890|183925|2158|2159|2172,0,0,1039,1039
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4930,4930,Saccharomyces,Saccharomyces,genus,0.19486,fraction_reads,0.19486,4930,1||4890|4891|4892|4893|4930,0,0,3856,3856
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,5475,5475,Candida,Candida,genus,0.00025,fraction_reads,0.00025,5475,1||4890|3239874|2916678|766764|5475,0,0,5,5
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,29465,29465,Veillonella,Veillonella,genus,16.2099,fraction_reads,16.2099,29465,1||1239|909932|1843489|31977|29465,0,0,320770,320770
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,216851,216851,Faecalibacterium,Faecalibacterium,genus,20.99369,fraction_reads,20.99369,216851,1||1239|186801|186802|216572|216851,0,0,415434,415434
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,239934,239934,Akkermansia,Akkermansia,genus,1.9905,fraction_reads,1.9905,239934,1||74201|203494|48461|1647988|239934,0,0,39389,39389
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,572511,572511,Blautia,Blautia,genus,5e-05,fraction_reads,5e-05,572511,1||1239|186801|3085636|186803|572511,0,0,1,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1766253,1766253,Agathobacter,Agathobacter,genus,5e-05,fraction_reads,5e-05,1766253,1||1239|186801|3085636|186803|1766253,0,0,1,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1870884,1870884,Clostridioides,Clostridioides,genus,2.66569,fraction_reads,2.66569,1870884,1||1239|186801|3082720|186804|1870884,0,0,52750,52750
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2742598,2742598,Limosilactobacillus,Limosilactobacillus,genus,1.14622,fraction_reads,1.14622,2742598,1||1239|91061|186826|33958|2742598,0,0,22682,22682
