tool,db,tool_db,data_type,project,technology,sample,raw_path,rows,species_rows,genus_rows,species_no_taxid,genus_no_taxid,species_value_sum,genus_value_sum,out_path
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128014.fastq.sylphmpa,32,16,16,0,0,100.0002,100.0002,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_unified/ZymoMockD6331_pacbio_SRR13128014.csv
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/Kraken2-results/sim_ont_report.tsv,1298,874,424,0,0,93.68618000681582,98.41762003287344,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_unified/simulated_ont_sim_ont.csv
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/Centrifuge-results/sim_ont_report.tsv,3266,2386,880,0,0,99.99999422996939,99.9999544199694,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_unified/simulated_ont_sim_ont.csv
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/Centrifuger-results/sim_ont_report.tsv,2025,1356,669,0,0,100.00002,100.00002,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_unified/simulated_ont_sim_ont.csv
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/ganon2-results/sim_ont.tre,240,162,78,0,0,99.08377000000002,99.08379000000001,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_unified/simulated_ont_sim_ont.csv
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/sourmash-results/sim_ont-report.csv.summarized.csv,195,128,67,0,0,93.10226498469368,93.10226498469396,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_unified/simulated_ont_sim_ont.csv
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/sylph-results/sim_ont.fastq.sylphmpa,193,127,66,0,0,100.00229999999999,100.0023,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_unified/simulated_ont_sim_ont.csv
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/Kraken2-results/sim_pacbio_report.tsv,645,447,198,0,0,97.06596852558019,99.5001064632895,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_unified/simulated_pacbio_sim_pacbio.csv
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/Centrifuge-results/sim_pacbio_report.tsv,1680,1153,527,0,0,100.00000747321232,100.00000747321232,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_unified/simulated_pacbio_sim_pacbio.csv
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/Centrifuger-results/sim_pacbio_report.tsv,816,520,296,0,0,100.00001,100.00002,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_unified/simulated_pacbio_sim_pacbio.csv
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/ganon2-results/sim_pacbio.tre,216,144,72,0,0,99.0496,99.04954000000001,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_unified/simulated_pacbio_sim_pacbio.csv
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/sourmash-results/sim_pacbio-report.csv.summarized.csv,195,128,67,0,0,96.48688279469027,96.48688279469056,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_unified/simulated_pacbio_sim_pacbio.csv
