taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
44249	44249	Paenibacillus	Paenibacillus	genus	2.90692e-84	abund	2.90692e-86	8594395	5894	1891	2.906921483307155e-84	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
44258	44258	Caloramator	Caloramator	genus	0.0	abund	0.0	1035569	31	24	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
44259	44259	Filifactor	Filifactor	genus	0.0	abund	0.0	1035571	37	11	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
44260	44260	Moorella	Moorella	genus	0.0	abund	0.0	11205442	986	140	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
44471	44471	Microcoleus	Microcoleus	genus	0.0	abund	0.0	0	27	9	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
44474	44474	Pleurocapsa	Pleurocapsa	genus	0.0	abund	0.0	1035575	41	35	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
44675	44675	Geothrix	Geothrix	genus	0.0	abund	0.0	0	135	66	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
45402	45402	Aquabacter	Aquabacter	genus	0.0	abund	0.0	0	19	7	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
45654	45654	Desulfonema	Desulfonema	genus	0.0	abund	0.0	1035557	8	5	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
45662	45662	Desulfohalobium	Desulfohalobium	genus	0.0	abund	0.0	3673019	15	5	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
45667	45667	Halobacillus	Halobacillus	genus	7.954802e-40	abund	7.954802e-42	6099407	2052	659	7.954806059077898e-40	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
45669	45669	Salinicoccus	Salinicoccus	genus	0.0	abund	0.0	0	149	55	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
45989	45989	Methanoculleus	Methanoculleus	genus	0.0	abund	0.0	1035557	21	8	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46123	46123	Abiotrophia	Abiotrophia	genus	0.0	abund	0.0	1035556	80	3	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46200	46200	Geovibrio	Geovibrio	genus	0.0	abund	0.0	1035551	19	13	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46205	46205	Pseudobutyrivibrio	Pseudobutyrivibrio	genus	0.0	abund	0.0	2784400	11	7	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46238	46238	Entomoplasma	Entomoplasma	genus	0.0	abund	0.0	838114	3	3	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46239	46239	Mesoplasma	Mesoplasma	genus	0.0	abund	0.0	2483040	124	37	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46254	46254	Oenococcus	Oenococcus	genus	0.0	abund	0.0	1035578	199	91	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46255	46255	Weissella	Weissella	genus	0.0014491624	abund	1.4491624000000001e-05	19204342	2232	803	0.0014491631394606512	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46352	46352	Agrococcus	Agrococcus	genus	0.0	abund	0.0	1035566	76	32	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46466	46466	Halocella	Halocella	genus	0.0	abund	0.0	6115373	18	5	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46631	46631	Picrophilus	Picrophilus	genus	0.0	abund	0.0	1035571	3	3	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
46913	46913	Devosia	Devosia	genus	0.0	abund	0.0	0	266	102	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
47251	47251	Leptolyngbya	Leptolyngbya	genus	0.0	abund	0.0	4023872	99	24	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
47420	47420	Hydrogenophaga	Hydrogenophaga	genus	0.0	abund	0.0	0	348	83	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
47670	47670	Lautropia	Lautropia	genus	0.0	abund	0.0	1035558	57	43	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
48073	48073	Microbulbifer	Microbulbifer	genus	0.0	abund	0.0	0	188	65	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
48075	48075	Marinobacterium	Marinobacterium	genus	0.0	abund	0.0	0	161	85	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
48558	48558	Pyricularia	Pyricularia	genus	0.0	abund	0.0	17168340	604	333	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
48736	48736	Ralstonia	Ralstonia	genus	0.0	abund	0.0	6998451	3166	1009	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
49082	49082	Candidatus Arthromitus	Candidatus Arthromitus	genus	0.0	abund	0.0	1035557	75	5	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
49277	49277	Psychroserpens	Psychroserpens	genus	0.0	abund	0.0	1035563	14	10	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
50709	50709	Acidocella	Acidocella	genus	0.0	abund	0.0	1035566	20	19	0.0	0.9999994897326387	DYN_0021_D03_Zymo_report	DYN_0021_D03	ont_zymo	Centrifuge	unified	Centrifuge_unified
